ID,Early Start,Early Finish,Late Start,Late Finish,Early Full,Late Full
30,"When Roger leaves, the house",is dark,"When Roger leaves the house,",it's dark,"When Roger leaves, the house is dark","When Roger leaves the house, it's dark"
31,"When Suzie visits, her grandpa",is happy,"When Suzie visits her grandpa,",he's happy,"When Suzie visits, her grandpa is happy","When Suzie visits her grandpa, he's happy"
32,"When the clock strikes, the hour",has started,"When the clock strikes the hour,",it's started,"When the clock strikes, the hour has started","When the clock strikes the hour, it's started"
33,"When the guerrillas fight, the battle",has begun,"When the guerrillas fight the battle,",it's begun,"When the guerrillas fight, the battle has begun","When the guerrillas fight the battle, it's begun"
34,"When the maid cleans, the rooms",are organized,"When the maid cleans the rooms,",they're organized,"When the maid cleans, the rooms are organized","When the maid cleans the rooms, they're organized"
35,"When the original cast performs, the play",is fantastic,"When the original cast performs the play,",it's fantastic,"When the original cast performs, the play is fantastic","When the original cast performs the play, it's fantastic"
36,"When Tim is presenting, the lectures",are interesting,"When Tim is presenting the lectures,",they're interesting,"When Tim is presenting, the lectures are interesting","When Tim is presenting the lectures, they're interesting"
37,"When The Beatles play, the music",is noisy,"When The Beatles play the music,",it's noisy,"When The Beatles play, the music is noisy","When The Beatles play the music, it's noisy"
38,"When Paul drinks, the rum",disappears,"When Paul drinks the rum,",it disappears,"When Paul drinks, the rum disappears","When Paul drinks the rum, it disappears"
39,"When Mary helps, the homeless",are grateful,"When Mary helps the homeless,",they're grateful,"When Mary helps, the homeless are grateful","When Mary helps the homeless, they're grateful"
40,"When the phone loads, the app",crashes,"When the phone loads the app,",it crashes,"When the phone loads, the app crashes","When the phone loads the app, it crashes"
41,"When the shop closes, its doors",are locked,"When the shop closes its doors,",they're locked,"When the shop closes, its doors are locked","When the shop closes its doors, they're locked"
42,"When a train passes, the station",shakes,"When a train passes the station,",it shakes,"When a train passes, the station shakes","When a train passes the station, it shakes"
43,"When the actor practices, the monologue",is excellent,"When the actor practices the monologue,",it's excellent,"When the actor practices, the monologue is excellent","When the actor practices the monologue, it's excellent"
44,"When the cowboy rides, the horse",is tired,"When the cowboy rides the horse,",it's tired,"When the cowboy rides, the horse is tired","When the cowboy rides the horse, it's tired"
46,"Whenever the guard checks, the door",is locked,"Whenever the guard checks the door,",it's locked,"Whenever the guard checks, the door is locked","Whenever the guard checks the door, it's locked"
47,"Whenever Bill teaches, the course",is boring,"Whenever Bill teaches the course,",it's boring,"Whenever Bill teaches, the course is boring","Whenever Bill teaches the course, it's boring"
48,"Whenever a customer tips, the waiter",is pleased,"Whenever a customer tips the waiter,",he's pleased,"Whenever a customer tips, the waiter is pleased","Whenever a customer tips the waiter, he's pleased"
49,"Whenever Rachel leads, the discussion",is exciting,"Whenever Rachel leads the discussion,",it's exciting,"Whenever Rachel leads, the discussion is exciting","Whenever Rachel leads the discussion, it's exciting"
50,"Whenever Mary writes, the paper",is excellent,"Whenever Mary writes the paper,",it's excellent,"Whenever Mary writes, the paper is excellent","Whenever Mary writes the paper, it's excellent"
