ID,Start,Focus 1,Focus 2,Middle,Ending 1,Ending 2,Full 1,Full 2
24,Tim has an,electric,piano,but he really wants an,ACOUSTIC piano,electric GUITAR,"Tim has an ELECTRIC piano, but he really wants an ACOUSTIC piano","Tim has an electric PIANO, but he really wants an electric GUITAR"
25,Ben has ridden a,UK,train,but he has never ridden a,AMERICAN train,UK BUS,"Ben has ridden a UK train, but he has never ridden a AMERICAN train","Ben has ridden a UK TRAIN, but he has never ridden a UK BUS"
26,Nancy has a,small,flat,but she would really like a,LARGE flat,small HOUSE,"Nancy has a SMALL flat, but she would really like a LARGE flat","Nancy has a small FLAT, but she would really like a small HOUSE"
27,Paul's house has a,brown,sofa,but it doesn't have a,BLACK sofa,brown CHAIR,"Paul's house has a BROWN sofa, but it doesn't have a BLACK sofa","Paul's house has a brown SOFA, but it doesn't have a brown CHAIR"
28,Robert doesn't like,Dutch,cinema,but he does like,GERMAN cinema,Dutch THEATRE,"Robert doesn't like DUTCH cinema, but he does like GERMAN cinema","Robert doesn't like Dutch CINEMA, but he does like Dutch THEATRE"
29,Jenny doesn't have any,ginger,friends,but she does have several,BLONDE friends,ginger COLLEAGUE S,"Jenny doesn't have any GINGER friends, but she does have several BLONDE friends","Jenny doesn't have any ginger FRIENDS, but she does have several ginger COLLEAGUE S"
30,You shouldn't open the,red,suitcase,but you can open the,GREEN suitcase,red CHEST,"You shouldn't open the RED suitcase, but you can open the GREEN suitcase","You shouldn't open the red SUITCASE, but you can open the red CHEST"
31,Emma doesn't,speak,well,but she does,DRESS well,speak OFTEN,"Emma doesn't SPEAK well, but she does DRESS well","Emma doesn't speak WELL, but she does speak OFTEN"
32,Rose has visited,southern,Greece,but she has not visited,NORTHERN Greece,southern ITALY,"Rose has visited SOUTHERN Greece, but she has not visited NORTHERN Greece","Rose has visited southern GREECE, but she has not visited southern ITALY"
33,Jane can speak,modern,Greek,but she can't speak,ANCIENT Greek,modern EGYPTIAN,"Jane can speak MODERN Greek, but she can't speak ANCIENT Greek","Jane can speak modern GREEK, but she can't speak modern EGYPTIAN"
34,Jim likes,Boots',shampoo,but he doesn't like,SUPERDRUG shampoo,Boots' BODYWASH,"Jim likes BOOTS' shampoo, but he doesn't like SUPERDRUG shampoo","Jim likes Boots' SHAMPOO, but he doesn't like Boots' BODYWASH"
35,Cameron will sometimes,watch,basket ball,but he will never,PLAY basketball,watch CRICKET,"Cameron will sometimes WATCH basket ball, but he will never PLAY basketball","Cameron will sometimes watch BASKET BALL, but he will never watch CRICKET"
36,Terry buys,sparkling,water,but not,STILL water,sparkling wine,"Terry buys SPARKLING water, but not STILL water","Terry buys sparkling WATER, but not sparkling wine"
37,Richard said to buy,red,cups,but not,BLUE cups,red PLATES,"Richard said to buy RED cups, but not BLUE cups","Richard said to buy red CUPS, but not red PLATES"
38,Harriet can,speak,Mandarin,but she can't,READ Mandarin,speak CANTONESE,"Harriet can SPEAK Mandarin, but she can't READ Mandarin","Harriet can speak MANDARIN, but she can't speak CANTONESE"
39,Olivia was looking for,wooden,boats,but she only found,PLASTIC boats,wooden PLANES,"Olivia was looking for WOODEN boats, but she only found PLASTIC boats","Olivia was looking for wooden BOATS, but she only found wooden PLANES"
40,Michael likes to,plant,flowers,but he hates to,PICK flowers,plant POTATOES,"Michael likes to PLANT flowers, but he hates to PICK flowers","Michael likes to plant FLOWERS, but he hates to plant POTATOES"
41,Cathy likes to,observe,children,but she doesn't like to,TALK to children,observe ADULTS,"Cathy likes to OBSERVE children, but she doesn't like to TALK to children","Cathy likes to observe CHILDREN, but she doesn't like to observe ADULTS"
42,Lily likes to,buy,stocks,but she doesn't like to,SELL stocks,buy BONDS,"Lily likes to BUY stocks, but she doesn't like to SELL stocks","Lily likes to buy STOCKS, but she doesn't like to buy BONDS"
43,Alex likes to,collect,dolls,but he doesn't like to,PLAY with dolls,collect STAMPS,"Alex likes to COLLECT dolls, but he doesn't like to PLAY with dolls","Alex likes to collect DOLLS, but he doesn't like to collect STAMPS"
44,Frank has a,toy,dog,but he would really like a,REAL dog,toy BIRD,"Frank has a TOY dog, but he would really like a REAL dog","Frank has a toy DOG, but he would really like a toy BIRD"
46,Bonnie has an,American,visa,but she really wants a,BRITISH visa,American PASSPORT,"Bonnie has an AMERICAN visa, but she really wants a BRITISH visa","Bonnie has an American VISA, but she really wants a American PASSPORT"
47,Patsy likes,Starbucks,coffee,but her friends like,COSTA coffee,Starbucks TEA,"Patsy likes STARBUCKS coffee, but her friends like COSTA coffee","Patsy likes Starbucks COFFEE, but her friends like Starbucks TEA"
48,Timothy bought a,leather,jacket,because he couldn't find,a CLOTH jacket,leather SHOES,"Timothy bought a LEATHER jacket, because he couldn't find a CLOTH jacket","Timothy bought a leather JACKET, because he couldn't find leather SHOES"
49,Carrie likes,Star Trek,films,but she can't stand,Star WARS films,Star TREK cartoons,"Carrie likes STAR TREK films, but she can't stand Star WARS films","Carrie likes Star Trek FILMS, but she can't stand Star TREK cartoons"
50,Daniel enjoys,Chicago,pizza,but he doesn't care for,NEW YORK pizza,Chicago BEER,"Daniel enjoys CHICAGO pizza, but he doesn't care for NEW YORK pizza","Daniel enjoys Chicago PIZZA, but he doesn't care for Chicago BEER"
